nombre_tarjeta,Tasa de interés mensual,Ingreso mínimo,Cuota de manejo,Marca,Solicitar,Costo de avance en efectivo,Tipo de tarjeta,Tasa de interes no informada,ingreso minimo no informado,Disponibilidad
Tarjeta de Crédito Bancolombia Mastercard Joven,2.01,200000,15490,mastercard, Online,6900, Internacional,1,1,1
Tarjeta de Crédito Banco de Occidente Mastercard Joven,2.24,500000,16300,mastercard, Online,6800, Internacional,1,1,1
Tarjeta de Crédito Banco de Occidente Visa Joven,2.24,500000,16300,visa, Online,6800, Internacional,1,1,1
Tarjeta de Crédito Davivienda Visa Liviana,2.16,1423500,20000,visa, Presencial,6400, Internacional,1,1,1
Tarjeta de Crédito Davivienda Diners Club Liviana,2.16,1423500,20000,diners club, Presencial,6400, Internacional,1,1,1
Tarjeta de Crédito Davivienda Mastercard Liviana,2.16,1423500,20000,mastercard, Presencial,6400, Internacional,1,1,1
Tarjeta de Crédito Banco de Bogotá Biomax Clásica,2.31,1423500,30790,visa, Online,5560, Internacional,1,1,1
Tarjeta de Crédito Banco de Bogotá Movistar Aliada,2.31,1423500,26010,mastercard, Online,5560, Internacional,1,1,1
Tarjeta de Crédito Banco de Bogotá Visa Digital,2.31,1423500,24710,visa, Online,5560, Internacional,1,1,1
Tarjeta de Crédito Bancoomeva Coomeva Mastercard,1.91,,34000,mastercard, Online,6545, Internacional,1,0,1
Tarjeta de Crédito Bancoomeva Visa Platino,1.91,,42000,visa, Online,6545, Internacional,1,0,1
Tarjeta de Crédito Bancoomeva Visa Oro,1.91,,38000,visa, Online,6545, Internacional,1,0,1
Tarjeta de Crédito Bancoomeva Visa Clásica,1.91,,32000,visa, Online,6545, Internacional,1,0,1
Tarjeta de Crédito Banco Caja Social Colmédica Platinum,2.18,1423500,109680,visa, Presencial,10520, Internacional,1,1,1
Tarjeta de Crédito Davivienda Mastercard Clásica,2.4,1423500,28000,mastercard, Presencial,6400, Internacional,1,1,1
Tarjeta de Crédito Banco Popular Mastercard Cero,2.27,,0,visa, Online,0, Internacional,1,0,1
Tarjeta de Crédito Davivienda Americanino,2.4,,28000,visa, Presencial,6400, Internacional,1,0,1
Tarjeta de Crédito Davivienda NAF NAF,2.4,,28000,visa, Presencial,6400, Internacional,1,0,1
Tarjeta de Crédito Davivienda Rifle,2.4,,28000,visa, Presencial,6400, Internacional,1,0,1
Tarjeta de Crédito Davivienda Chevignon,2.4,,28000,visa, Presencial,6400, Internacional,1,0,1
