nombre_tarjeta,Tasa de interés mensual,Ingreso mínimo,Cuota de manejo,Marca,Solicitar,Costo de avance en efectivo,Tipo de tarjeta
Tarjeta de Crédito Bancolombia Mastercard Joven, 2.01%, $200.000, $15.490, Mastercard, Online, $6.900, Internacional
Tarjeta de Crédito Banco de Occidente Mastercard Joven, No informado, $500.000, $ 16.300, Mastercard, Online," $6,800", Internacional
Tarjeta de Crédito Banco de Occidente Visa Joven, No informado, $500.000, $ 16.300, Visa, Online," $6,800", Internacional
Tarjeta de Crédito Davivienda Visa Liviana," 2,16%", 1 SMLV, $20.000, Visa, Presencial,, Internacional
Tarjeta de Crédito Davivienda Diners Club Liviana," 2,16%", 1 SMLV, $20.000, Diners Club, Presencial,, Internacional
Tarjeta de Crédito Davivienda Mastercard Liviana," 2,16%", 1 SMLV, $20.000, Mastercard, Presencial,, Internacional
Tarjeta de Crédito Banco de Bogotá Biomax Clásica, 2.31%, 1 SMMLV, $30.790, Visa, Online, $5.560, Internacional
Tarjeta de Crédito Banco de Bogotá Movistar Aliada, 2.31%, 1 SMMLV, $26.010, Mastercard, Online, $5.560, Internacional
Tarjeta de Crédito Banco de Bogotá Visa Digital, 2.31%, 1 SMMLV, $24.710, Visa, Online, $5.560, Internacional
Tarjeta de Crédito Bancoomeva Coomeva Mastercard, Disponible en la web de Bancoomeva, No informado, Cero cuota de manejo por un año ($0), Mastercard, Online, $6.545, Internacional
Tarjeta de Crédito Bancoomeva Visa Platino, Disponible en la web de Bancoomeva, No informado, Cero cuota de manejo por un año ($0) Exoneración Cuota de Manejo para tus tarjetas Bancoomeva, Visa, Online, $6.545, Internacional
Tarjeta de Crédito Bancoomeva Visa Oro, Disponible en la web de Bancoomeva, No informado, Cero cuota de manejo por un año ($0) Exoneración Cuota de Manejo para tus tarjetas Bancoomeva, Visa, Online, $6.545, Internacional
Tarjeta de Crédito Bancoomeva Visa Clásica, Disponible en la web de Bancoomeva, No informado, Cero cuota de manejo por un año ($0) Exoneración Cuota de Manejo para tus tarjetas Bancoomeva, Visa, Online, $6.545, Internacional
Tarjeta de Crédito Banco Caja Social Colmédica Platinum," 2,18%", 1 SMMLV, $109.680, Visa, Presencial, $10.520, Internacional
Tarjeta de Crédito Davivienda Mastercard Clásica," 2,40%", 1 SMLV, $28.000, Mastercard, Presencial,, Internacional
Tarjeta de Crédito Banco Popular Mastercard Cero," 31,5100% E.A", No informado, $ 0, Visa, Online, $ 0, Internacional
Tarjeta de Crédito Davivienda Americanino," 2,40%", No informado, $28.000, Visa, Presencial,, Internacional
